galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
3000207000000,3000207000116,-1,3000207000000,63000300001150,63000300001150,3000207000000,3000207000001,-1,0,63,0.0,42.860703,12932,60.42461,5.184936,8.892288,39623,6,0,0,-134.42108,85.86451,40.284225,955,42.860703,0.12261197,122.61205,130.91605,3.4114692,1.7610066,0.33492306,0.009626437,4.1869073,4.6718E-4,0.043624725,0.018280223,0.0030108993,1.140771E-4,0.041144453,4.697374,0.0,0.0,0.02429782,0.006582862,-21.298704,-21.64005,-22.060535,-22.464499,-23.730436,-17.348587,-18.193312,-18.89661,-19.489305,-20.961964,-21.106321,-21.492483,-21.945274,-22.381397,-23.705494,6.374269,631
3000207000001,3000207000116,3000207000000,3000207000001,62000300001176,62000300001176,3000207000000,3000207000002,-1,0,62,0.019932542,42.60251,12932,60.45263,5.167136,8.8822565,39623,6,0,0,-134.99857,84.05127,41.429512,950,42.60251,0.12174952,122.67439,132.86302,3.7791245,1.7095166,0.33492306,0.0,4.0071096,4.6718E-4,0.04548038,0.017642476,0.0030108993,0.0,0.038663033,8.865899,0.0,0.0,0.026054973,0.0050381618,-22.589577,-22.745577,-23.053616,-23.345968,-24.32671,-17.378561,-18.220284,-18.921484,-19.512142,-20.982231,-22.427711,-22.614164,-22.94768,-23.266893,-24.30039,6.2987833,497
3000207000002,3000207000096,3000207000001,3000207000002,61000300001251,61000300001251,3000207000000,3000207000003,3000207000097,0,61,0.041403063,43.807426,12932,60.483677,5.1462336,8.877636,39623,6,0,0,-134.63072,81.983284,39.200294,903,43.807426,0.12220414,124.16548,132.44443,4.493429,1.5792311,0.30640376,0.0025396985,3.3731427,3.2688497E-4,0.048192713,0.016331805,0.0028446568,2.6754837E-5,0.031605102,7.406368,0.0,0.0,0.022096368,0.0030727568,-21.365755,-21.65338,-22.04774,-22.435318,-23.668503,-17.214312,-18.07232,-18.783215,-19.384188,-20.873161,-21.146095,-21.480974,-21.911373,-22.335892,-23.637814,6.437975,206
3000207000003,3000207000096,3000207000002,3000207000003,60000300001201,60000300001201,3000207000000,3000207000004,-1,0,60,0.064493395,42.51644,12932,60.50861,5.131286,8.86789,39623,6,0,0,-129.35582,83.797585,39.263103,909,42.51644,0.12025077,123.31176,128.68962,5.1268516,1.4905205,0.30640376,0.0,2.8313794,3.2688497E-4,0.050014496,0.015426483,0.0028446568,0.0,0.026030244,7.82302,0.0,0.0,0.023816856,0.12025077,-21.275133,-21.560987,-21.960068,-22.35027,-23.58223,-17.245577,-18.10064,-18.809502,-19.408485,-20.894829,-21.108053,-21.428802,-21.855453,-22.274366,-23.559292,6.5245075,76
3000207000004,3000207000096,3000207000003,3000207000004,59000300001281,59000300001281,3000207000000,3000207000005,-1,0,59,0.08928783,42.000046,12932,60.533714,5.1093407,8.863509,39623,6,0,0,-127.33673,86.3282,40.143383,861,42.000046,0.11895423,123.22673,130.87172,1.6788108,1.3930885,0.30640376,1.155256,2.106601,3.2687865E-4,0.020946518,0.014524828,0.0028446568,0.012845254,0.018657334,1.4054192,0.0,43.101807,0.027926896,0.070651904,-20.321043,-20.827026,-21.35505,-21.833342,-23.210485,-17.279308,-18.131256,-18.837961,-19.43496,-20.919113,-20.264242,-20.785252,-21.3228,-21.810154,-23.203434,6.670802,660
3000207000005,3000207000096,3000207000004,3000207000005,58000300001275,58000300001275,3000207000000,3000207000006,-1,0,58,0.11588337,41.311523,12935,60.562923,5.090095,8.861408,39630,6,0,0,-122.444626,85.524345,40.82249,833,41.311523,0.1174227,123.00692,130.0297,1.6984063,1.3749448,0.30640376,0.96797895,2.179142,3.2684644E-4,0.020263016,0.014303426,0.0028446568,0.012758763,0.018688746,1.7976046,0.0,43.017452,0.024451599,0.06797888,-20.46804,-20.929668,-21.431479,-21.89389,-23.247564,-17.316439,-18.165192,-18.869692,-19.464739,-20.947062,-20.38792,-20.870739,-21.385826,-21.8608,-23.23718,6.446522,997
3000207000006,3000207000096,3000207000005,3000207000006,57000300001235,57000300001235,3000207000000,3000207000007,-1,0,57,0.14438343,42.086113,12935,60.59195,5.071151,8.84744,39630,6,0,0,-115.17216,87.23119,34.63606,808,42.086113,0.117188156,124.27893,132.20174,1.7599051,1.3509655,0.30640376,1.0359035,2.2084367,3.2681465E-4,0.01954328,0.014027591,0.0028446568,0.013407317,0.0177652,3.1282907,0.0,43.08483,0.017484546,0.069274426,-20.706907,-21.094482,-21.556667,-21.99505,-23.309597,-17.356287,-18.201763,-18.90406,-19.497244,-20.978035,-20.599813,-21.01058,-21.490377,-21.947157,-23.29525,6.2374873,622
3000207000007,3000207000096,3000207000006,3000207000007,56000300001254,56000300001254,3000207000000,3000207000008,-1,0,56,0.17489761,44.92628,12935,60.624973,5.047276,8.841003,39630,6,0,0,-120.96717,87.791016,39.35418,798,44.92628,0.11869413,127.586754,135.66304,1.9010323,1.3079803,0.30640376,1.5695575,2.0613868,3.267715E-4,0.01865438,0.01358016,0.0028446568,0.015109915,0.015122402,3.611769,0.0,43.33652,0.0168437,0.07431057,-20.761526,-21.119919,-21.564491,-21.991735,-23.28797,-17.397652,-18.239193,-18.938702,-19.529348,-21.007515,-20.647116,-21.030996,-21.49455,-21.941238,-23.272696,6.1067295,128
3000207000008,3000207000096,3000207000007,3000207000008,55000300001202,55000300001202,3000207000000,3000207000009,-1,0,55,0.20754863,49.91809,12935,60.669792,5.023456,8.813955,39630,6,0,0,-122.35788,86.411224,38.64069,743,49.91809,0.12172842,132.8015,139.08784,1.9598236,1.2570103,0.30640376,2.6089418,1.8631641,3.2669934E-4,0.017003562,0.013113253,0.0028446568,0.016227687,0.013416845,3.4956512,0.0,43.602036,0.017559722,0.07619582,-20.70227,-21.054403,-21.495256,-21.920622,-23.214153,-17.441322,-18.278362,-18.974514,-19.561918,-21.036219,-20.605066,-20.98106,-21.43855,-21.8799,-23.201591,6.008263,757
3000207000009,3000207000096,3000207000008,3000207000009,54000300001249,54000300001249,3000207000000,3000207000010,-1,0,54,0.24246909,53.61891,12935,60.712322,5.0054417,8.806917,39630,6,0,0,-119.40075,88.16391,34.905277,703,53.61891,0.123322375,136.74393,131.0522,1.8656192,1.2064953,0.30640376,3.5339477,1.7106045,3.2658924E-4,0.014903848,0.012696983,0.0028446568,0.01638182,0.013085435,2.4882584,0.0,43.73784,0.02073637,0.07312792,-20.474886,-20.866596,-21.332901,-21.777594,-23.103132,-17.48969,-18.322233,-19.01499,-19.599112,-21.06995,-20.395542,-20.809406,-21.289906,-21.747147,-23.09372,5.9053373,51
