haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
28000000,63000000000351,28000395,28000000,63,0.0,28000001,-1,-1,28000000,28000396,5128,525.4309,415.6111,475.42676,2696,29.941898,21.589771,27.859549,31704,3,2,3,-35.073204,4.502358,-401.45187,168.29799,273.65164,-0.5669838,-4.011828,-3.109735,18064895,0,351,0.12780695,805
28000001,62000000000341,28000356,28000000,62,0.019932542,28000002,28000357,28000000,28000001,28000397,4948,515.27515,410.53326,468.6276,2696,29.95115,21.592613,27.935514,31704,3,2,3,-35.998764,6.258253,-405.8692,171.22252,276.29276,-0.80936795,-3.4747286,-3.2194622,18064947,0,341,0.123574235,304
28000002,61000000000351,28000356,28000000,61,0.041403063,28000003,-1,28000001,28000002,28000398,4912,506.6686,398.22586,459.5907,2696,29.963858,21.589308,28.017591,31704,3,2,3,-37.061497,8.714878,-404.211,176.37262,284.34476,-0.991235,-4.0711565,-2.9903052,18064947,0,351,0.11278998,261
28000003,60000000000345,28000355,28000000,60,0.064493395,28000004,28000356,28000002,28000003,28000399,4988,496.08252,368.7914,447.4554,2696,29.984629,21.571203,28.10193,31704,3,2,3,-38.21007,5.0149965,-406.46048,173.0562,290.66214,-1.1199462,-4.2421937,-3.327517,18065258,0,345,0.115366556,903
28000004,59000000000352,28000355,28000000,59,0.08928783,28000005,-1,28000003,28000004,28000400,4599,486.27106,349.34055,434.20132,2696,30.016827,21.563044,28.188612,31704,3,2,3,-50.107788,7.9765434,-396.03168,157.42862,263.47803,-1.0612394,-2.9902086,-3.4705334,18064947,0,352,0.12968841,276
28000005,58000000000330,28000328,28000000,58,0.11588337,28000006,28000329,28000004,28000005,28000401,4417,474.39398,321.3692,396.93488,2696,30.031021,21.552996,28.280334,31704,3,2,3,-52.200603,9.337882,-386.0606,148.447,259.9436,-1.4355847,-1.8653042,-2.9613621,18065258,0,330,0.1339403,891
28000006,57000000000341,28000328,28000000,57,0.14438343,28000007,-1,28000005,28000006,28000466,4339,456.83658,276.0126,364.0578,2696,30.049526,21.55662,28.377687,31708,3,2,3,-50.29525,6.558542,-386.76535,142.92596,251.90303,-1.6433954,-1.8488624,-3.0235014,18065258,0,341,0.13275522,833
28000007,56000000000285,28000325,28000000,56,0.17489761,28000008,28000326,28000006,28000007,28000467,4210,419.2259,268.18063,315.1725,2696,30.06437,21.548203,28.486357,31708,3,2,3,-50.712063,6.3741446,-387.99408,140.02917,252.81154,-1.7411002,-1.374509,-2.7218995,18064925,0,285,0.13003904,83
28000008,55000000000300,28000324,28000000,55,0.20754863,28000009,28000325,28000007,28000008,28000468,4032,358.20532,260.34866,307.68478,2696,30.082535,21.545929,28.596794,31708,3,2,3,-47.131004,3.1543214,-391.62283,141.9787,253.72571,-1.7498713,-1.433875,-3.0198352,18065351,0,300,0.123886585,432
28000009,54000000000250,28000324,28000000,54,0.24246909,28000010,-1,28000008,28000009,28000469,3963,343.74628,256.64783,303.03723,2696,30.101952,21.541534,28.721727,31708,3,2,3,-46.490364,1.5413263,-398.94247,141.60304,254.05658,-2.2394204,-2.167369,-3.0629451,18065230,0,250,0.11974818,743
