haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
2000036000000,63000200000386,2000036000427,2000036000000,63,0.0,2000036000001,-1,-1,2000036000000,2000036000428,10151,1026.9355,598.15643,815.4722,9629,35.47388,55.228344,26.060596,126048,3,6,2,-177.36917,108.40118,357.04214,181.60811,314.99704,-1.7008331,1.7107123,7.2453337,5629028,2,386,0.21413112,236
2000036000001,62000200000384,2000036000331,2000036000000,62,0.019932542,2000036000002,2000036000332,2000036000000,2000036000001,2000036000429,9828,1032.0134,604.4392,835.6116,9629,35.497105,55.21237,26.008673,126048,3,6,2,-162.53598,103.567215,350.09308,172.79247,291.55234,-1.7881706,1.1102078,7.5336347,5628520,2,384,0.22704321,433
2000036000002,61000200000347,2000036000331,2000036000000,61,0.041403063,2000036000003,-1,2000036000001,2000036000002,2000036000430,9632,1031.325,621.5663,852.9108,9629,35.516834,55.193043,25.9471,126048,3,6,2,-157.28546,100.11303,346.99484,175.77078,292.88452,-1.7811185,1.2141938,7.0960426,5628523,2,347,0.2313827,562
2000036000003,60000200000380,2000036000331,2000036000000,60,0.064493395,2000036000004,-1,2000036000002,2000036000003,2000036000431,9714,1019.8782,623.5458,863.32477,9629,35.540054,55.147293,25.873636,126048,3,6,2,-152.66367,88.49118,341.51184,177.12541,296.76678,-1.5460904,0.5725143,7.916294,5628392,2,380,0.22669649,440
2000036000004,59000200000401,2000036000330,2000036000000,59,0.08928783,2000036000005,2000036000331,2000036000003,2000036000004,2000036000432,9337,1005.50525,594.62775,858.76324,9629,35.58162,55.09988,25.784813,126048,3,6,2,-153.4928,80.35355,343.79224,178.95282,280.37064,-1.2180954,0.29285878,7.9709506,5628178,2,401,0.22228268,939
2000036000005,58000200000399,2000036000330,2000036000000,58,0.11588337,2000036000006,-1,2000036000004,2000036000005,2000036000433,9004,990.788,627.67694,858.07477,9629,35.62738,55.071693,25.701773,126048,3,6,2,-146.49564,59.170387,335.33478,186.81184,285.7237,-0.5962296,-0.267965,7.384054,5628886,2,399,0.20512572,593
2000036000006,57000200000411,2000036000311,2000036000000,57,0.14438343,2000036000007,2000036000312,2000036000005,2000036000006,2000036000434,8640,982.61176,658.31635,819.17303,9629,35.662945,55.059326,25.612356,126048,3,6,2,-140.39984,42.27777,331.49805,197.86949,298.59564,-1.5056312,0.38284343,6.9285765,5628178,2,411,0.17970625,367
2000036000007,56000200000398,2000036000311,2000036000000,56,0.17489761,2000036000008,-1,2000036000006,2000036000007,2000036000435,8648,971.079,669.0745,810.6525,9629,35.68457,55.08068,25.519775,126048,3,6,2,-137.11569,37.686314,324.701,211.04417,321.9012,0.041236233,-0.8173119,7.345652,5628187,2,398,0.15736039,631
2000036000008,55000200000395,2000036000310,2000036000000,55,0.20754863,2000036000009,2000036000311,2000036000007,2000036000008,2000036000436,8635,949.39044,672.34503,794.38617,9629,35.75953,55.05364,25.399223,126048,4,6,2,-139.93416,47.21018,319.40408,213.2771,320.8203,-0.41916397,0.53174,5.899891,5629424,2,395,0.15729679,713
2000036000009,54000200000396,2000036000274,2000036000000,54,0.24246909,2000036000010,2000036000275,2000036000008,2000036000009,2000036000437,8025,886.5625,663.6524,785.005,9630,35.760582,55.117096,25.343147,126020,4,6,2,-155.52693,42.84744,306.94006,184.85928,284.76065,-2.8432899,0.47613767,5.3298354,5628513,2,396,0.18877888,295
2000036000010,53000200000356,2000036000274,2000036000000,53,0.2798018,2000036000011,-1,2000036000009,2000036000010,2000036000438,7419,873.7387,632.8409,777.087,9630,35.816017,55.107655,25.235786,126020,4,6,2,-165.83325,57.500233,301.29764,176.50737,272.20703,-3.0477948,1.2869123,5.1196957,5628886,2,356,0.19411092,734
2000036000011,52000200000329,2000036000203,2000036000000,52,0.31970343,2000036000012,2000036000204,2000036000010,2000036000011,2000036000439,7586,875.37396,557.36127,746.4476,9630,35.869576,55.079414,25.133602,126020,4,6,2,-170.02254,55.556,291.581,175.27028,265.96155,-3.8888402,2.1006458,6.2377996,5628886,2,329,0.20236088,145
2000036000012,51000200000294,2000036000203,2000036000000,51,0.36234027,2000036000013,-1,2000036000011,2000036000012,2000036000715,7099,949.6486,392.02914,726.05,9630,35.944244,55.04317,25.024168,126020,4,6,2,-182.00912,50.348396,284.65726,170.13673,264.15884,-4.315292,4.4396534,4.22773,5628886,2,294,0.19567664,443
2000036000013,50000200000302,2000036000203,2000036000000,50,0.40789944,2000036000014,-1,2000036000012,2000036000013,2000036000716,6502,951.80023,366.46762,591.9597,9630,36.028694,54.994957,24.913288,126020,4,6,2,-194.19113,41.213356,283.09183,171.17258,267.16284,-4.947019,3.3659403,4.01662,5628290,2,302,0.18067205,698
2000036000014,49000200000305,2000036000186,2000036000000,49,0.45657724,2000036000015,2000036000187,2000036000013,2000036000014,2000036000717,2154,791.89026,359.15204,604.35315,9630,36.115543,54.94937,24.777994,126020,4,6,2,-246.73619,70.6038,335.81973,166.21915,270.79166,1.0754995,-1.6078814,-0.07551928,5628528,2,305,0.055858236,531
2000036000015,48000200000319,2000036000167,2000036000000,48,0.5085914,2000036000016,2000036000168,2000036000014,2000036000015,2000036000718,4410,764.95166,373.0086,628.9679,9630,36.225494,54.932426,24.631815,126021,4,6,2,-269.98862,-1.6922907,323.07892,160.32095,264.99103,-2.0407257,0.7289959,-0.09078964,5628523,2,319,0.1207401,744
2000036000016,47000200000320,2000036000167,2000036000000,47,0.5641766,2000036000017,-1,2000036000015,2000036000016,2000036000719,4499,727.42706,450.63986,663.136,9630,36.360638,54.940926,24.448637,126021,4,6,2,-280.4929,-45.89564,329.5014,160.42758,262.60968,-2.0164807,0.30233467,-0.5954616,5628298,2,320,0.12179032,69
2000036000017,46000200000289,2000036000131,2000036000000,46,0.6235901,2000036000018,2000036000132,2000036000016,2000036000017,2000036000444,6276,566.31213,429.63983,512.0047,9630,36.50466,54.977882,24.271803,126017,4,6,2,-227.58568,-101.627495,281.94763,166.54936,264.7864,-1.0811665,3.0829911,2.670586,5628523,2,289,0.17464948,837
2000036000018,45000200000297,2000036000131,2000036000000,45,0.6871088,2000036000019,-1,2000036000017,2000036000018,2000036000720,3851,480.50464,395.1275,457.95544,9630,36.65672,55.04026,24.13104,126017,4,6,2,-303.815,-113.6467,293.8421,163.56958,271.80652,-1.9765006,0.14865205,0.25140494,5628255,2,297,0.10447098,61
2000036000019,44000200000308,2000036000131,2000036000000,44,0.75503564,2000036000020,-1,2000036000018,2000036000019,2000036000348,3367,387.5537,300.8856,349.85696,9630,36.79541,55.116962,23.999504,126017,4,6,2,-307.8638,-126.279144,263.50742,159.912,264.2037,-1.3999093,-1.4022288,0.61583203,5628886,2,308,0.09276699,427
2000036000020,43000200000280,2000036000130,2000036000000,43,0.8276991,2000036000021,2000036000131,2000036000019,2000036000020,2000036000349,3209,307.8569,256.30356,295.1192,9630,36.94773,55.21444,23.90303,126017,4,6,2,-296.4107,-138.5339,253.62999,157.45995,254.28691,-1.2257068,-1.8484389,0.9401362,5628255,2,280,0.09488639,493
2000036000021,42000200000300,2000036000130,2000036000000,42,0.9054624,2000036000022,-1,2000036000020,2000036000021,2000036000350,2892,284.87738,247.26668,278.42245,9630,37.09471,55.27564,23.788496,126017,4,6,2,-288.31876,-130.11845,239.3143,157.4185,254.42346,-0.98978657,-1.7430633,1.1418633,5628804,2,300,0.08429186,270
2000036000022,41000200000321,2000036000129,2000036000000,41,0.98870814,2000036000023,2000036000130,2000036000021,2000036000022,2000036000137,2628,272.39786,247.78307,269.12735,9625,37.250813,55.323154,23.675953,126024,4,6,2,-275.0488,-117.02453,233.73831,166.12248,262.90094,0.03496083,-1.9112897,1.4136561,5628255,2,321,0.07118891,675
2000036000023,40000200000272,2000036000108,2000036000000,40,1.0778745,2000036000024,2000036000109,2000036000022,2000036000023,2000036000233,2526,256.30356,228.1601,253.63553,9625,37.40442,55.35043,23.535149,126024,4,6,2,-256.58084,-105.26838,229.39523,164.59636,262.52386,0.68317884,-1.9289687,1.3211712,5627981,2,272,0.06993529,584
2000036000024,39000200000303,2000036000108,2000036000000,39,1.173417,2000036000025,-1,2000036000023,2000036000024,2000036000234,2269,220.41418,205.61089,219.63959,9318,37.526646,55.36652,23.400139,124268,4,6,2,-236.96541,-92.06142,226.43736,158.68211,254.88469,1.3993716,-1.636255,1.0660475,5629423,2,303,0.06642225,482
2000036000025,38000200000344,2000036000108,2000036000000,38,1.2758462,2000036000026,-1,2000036000024,2000036000025,2000036000140,1919,199.67236,180.4797,199.67236,9318,37.644855,55.38668,23.268873,124268,4,6,2,-199.57263,-64.138885,206.22661,145.06783,243.97812,1.4005495,-1.8576779,0.051501486,5628511,2,344,0.06004686,110
