haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
125000169,63000000001317,125000210,125000000,63,0.0,125000170,-1,-1,125000169,-1,117,10.8442745,7.9180417,9.295093,3027,21.393473,26.950674,19.820755,30035,2,3,2,159.68712,-80.67489,130.95923,42.421326,88.46921,-0.12587647,-0.041109573,0.26456037,1840316,0,1317,0.029491022,416
125000170,62000000001347,125000210,125000000,62,0.019932542,125000171,-1,125000169,125000170,-1,114,11.102471,8.004107,9.036896,3027,21.36664,26.967955,19.796658,30035,2,3,2,163.04636,-83.10828,127.650246,43.49169,89.42064,-0.24779636,-0.08918226,0.20053475,1840886,0,1347,0.027263973,735
125000171,61000000001396,125000210,125000000,61,0.041403063,125000172,-1,125000170,125000171,-1,112,10.93034,8.348371,9.639355,3027,21.331665,26.98464,19.774054,30035,2,3,2,161.58134,-86.92715,121.20485,45.089653,90.583336,-0.14278097,-0.19420557,0.079407744,1841101,0,1396,0.028289935,643
125000172,60000000001335,125000210,125000000,60,0.064493395,125000173,-1,125000171,125000172,-1,114,11.016406,8.606567,9.639355,3027,21.296022,26.999332,19.746475,30035,2,3,2,164.25432,-90.04165,114.09342,46.592457,91.2539,-0.2680837,-0.11719903,0.1915679,1838538,0,1335,0.030203039,451
125000173,59000000001336,125000210,125000000,59,0.08928783,125000174,-1,125000172,125000173,-1,118,11.016406,8.434436,9.983618,3027,21.25245,27.028082,19.720303,30035,2,3,2,165.24706,-96.0313,109.61222,45.18901,90.51153,-0.32567552,-0.14209482,0.09462853,1838538,0,1336,0.027864287,292
125000174,58000000001437,125000210,125000000,58,0.11588337,125000175,-1,125000173,125000174,-1,108,10.586078,8.864764,9.553289,3027,21.209553,27.054636,19.692978,30035,2,3,2,162.43784,-100.45386,98.28475,45.38262,87.47888,-0.12881741,-0.16487461,0.16181889,1838538,0,1437,0.027336454,665
125000175,57000000001480,125000210,125000000,57,0.14438343,125000176,-1,125000174,125000175,-1,106,10.586078,8.606567,9.467224,3027,21.169535,27.083609,19.662138,30035,2,3,2,162.03587,-108.103615,92.01844,45.64826,88.5738,-0.16582541,-0.1428145,0.2287994,1838533,0,1480,0.025626477,798
125000176,56000000001388,125000210,125000000,56,0.17489761,125000177,-1,125000175,125000176,-1,114,10.327881,8.176239,9.122961,3027,21.123474,27.118189,19.637367,30035,2,3,2,160.84846,-117.29779,85.403625,46.40535,92.05724,-0.124924436,-0.24258062,0.08572922,1838533,0,1388,0.028054954,659
125000177,55000000001481,125000210,125000000,55,0.20754863,125000178,-1,125000176,125000177,-1,105,9.983618,8.090173,9.467224,3027,21.07755,27.150541,19.612955,30035,2,3,2,155.49834,-125.814705,76.91958,44.778023,88.85131,-0.04435943,-0.15542813,0.204691,1840241,0,1481,0.025238784,632
125000178,54000000001377,125000210,125000000,54,0.24246909,125000179,-1,125000177,125000178,-1,116,10.241815,8.520501,9.467224,3027,21.02656,27.19943,19.594685,30035,2,3,2,150.07768,-137.79753,70.97235,42.72705,84.79198,-0.04387485,-0.19877978,0.16014327,1841145,0,1377,0.031145278,918
125000179,53000000001412,125000210,125000000,53,0.2798018,125000180,-1,125000178,125000179,-1,115,10.241815,8.434436,9.553289,3027,20.9711,27.244816,19.574926,30035,2,3,2,141.89584,-151.27577,63.90378,45.398266,85.81817,-0.0030704448,-0.19547774,0.13610356,1840241,0,1412,0.031532932,954
125000180,52000000001406,125000210,125000000,52,0.31970343,125000181,-1,125000179,125000180,-1,113,9.8975525,8.348371,9.467224,3027,20.922054,27.30662,19.548998,30035,2,3,2,131.63426,-164.86678,62.354534,47.889454,92.985855,-0.0667319,-0.1266444,0.18300235,1840241,0,1406,0.024779592,843
125000181,51000000000512,125000210,125000000,51,0.36234027,125000182,-1,125000180,125000012,125000145,109,0.0,0.0,0.0,3059,20.872566,27.368805,19.529257,29925,2,3,2,121.17693,-176.39629,63.28203,49.453518,92.510895,0.04360085,-0.11733744,0.12133432,1840241,0,512,0.025468064,366
125000182,50000000001482,125000210,125000000,50,0.40789944,125000183,-1,125000181,125000182,-1,109,10.327881,8.864764,9.8975525,3059,20.831898,27.436863,19.502653,29925,2,3,2,110.124596,-184.997,66.77947,49.152653,92.184,-0.030543802,-0.2364548,0.12902953,1840241,0,1482,0.027565282,587
125000183,49000000001479,125000210,125000000,49,0.45657724,125000184,-1,125000182,125000183,-1,105,9.8975525,9.036896,9.725421,3059,20.790613,27.512075,19.46566,29925,2,3,2,98.87124,-193.88435,72.01531,50.544212,89.32099,0.015718035,-0.16218647,0.21159156,1838543,0,1479,0.026939146,497
125000184,48000000001475,125000210,125000000,48,0.5085914,125000185,-1,125000183,125000184,-1,105,9.8975525,8.9508295,9.811486,3059,20.752686,27.587467,19.44931,29925,2,3,2,91.73489,-197.0321,78.76795,49.439804,91.90393,0.006921104,-0.16131584,0.168796,1841145,0,1475,0.025501221,342
125000185,47000000001457,125000210,125000000,47,0.5641766,125000186,-1,125000184,125000185,-1,109,9.036896,7.831976,8.778699,3059,20.703783,27.67033,19.410746,29925,2,3,2,87.07794,-196.88911,84.08111,46.589203,90.49178,0.055647444,-0.090444565,0.1315106,1840241,0,1457,0.027648551,456
125000186,46000000001591,125000210,125000000,46,0.6235901,125000187,-1,125000185,125000186,-1,100,8.9508295,7.4016476,8.606567,3059,20.662752,27.757162,19.376572,29925,2,3,2,83.11544,-192.18347,88.52954,44.512707,86.87587,-0.0857734,-0.1556529,0.12101318,1841102,0,1591,0.028311202,340
125000187,45000000001523,125000210,125000000,45,0.6871088,125000188,-1,125000186,125000187,-1,105,8.692633,7.659845,8.348371,3059,20.63432,27.845469,19.336622,29925,2,3,2,79.70062,-190.42581,92.73637,43.064827,85.36591,-0.043238092,-0.14638163,0.14612265,1841102,0,1523,0.028534554,39
125000188,44000000001564,125000210,125000000,44,0.75503564,125000189,-1,125000187,125000188,-1,99,8.778699,7.573779,8.692633,3059,20.600002,27.936193,19.281216,29925,2,3,2,74.76119,-187.39453,90.37288,47.428104,90.62563,0.118734166,-0.108454295,0.14818473,1838543,0,1564,0.02404055,795
125000189,43000000001517,125000210,125000000,43,0.8276991,125000190,-1,125000188,125000189,-1,103,8.520501,7.4877133,8.090173,3059,20.563587,28.041378,19.223402,29925,2,3,2,74.15712,-185.57402,94.22187,48.396896,89.157555,0.0583862,-0.1253521,0.26267257,1840317,0,1517,0.024664879,720
