galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
116000000,116000092,-1,116000000,63000000000579,63000000000579,116000000,116000001,-1,0,63,0.0,49.659893,2944,17.120928,24.50515,23.843575,31747,1,2,2,101.81998,-32.26081,-132.67403,842,49.659893,0.12877999,128.78008,146.03394,1.1134881,1.7925256,0.07795588,0.9908647,2.8384454,3.9352803E-4,0.025494784,0.023060052,4.1998076E-4,0.027555393,0.044826355,2.0704806,0.0,43.085423,0.0149970045,0.08159355,-20.527554,-21.03289,-21.573883,-22.076517,-23.501692,-15.847257,-16.636745,-17.309958,-17.858906,-19.202332,-20.123993,-20.718092,-21.322865,-21.892778,-23.445894,6.604654,759
116000001,116000092,116000000,116000001,62000000000581,62000000000581,116000000,116000002,-1,0,62,0.019932542,50.606613,2944,17.105022,24.511978,23.871151,31747,1,2,2,103.05899,-30.868135,-134.21329,828,50.606613,0.12894107,129.92058,145.45753,1.1808192,1.7698302,0.07795588,1.0372726,2.88718,3.9349767E-4,0.025261696,0.022557737,4.1998076E-4,0.028820788,0.04266274,1.8255281,0.0,43.1188,0.017152369,0.0816474,-20.553764,-21.059418,-21.5948,-22.09164,-23.512274,-15.871384,-16.659548,-17.331694,-17.879583,-19.22138,-20.265675,-20.835806,-21.417194,-21.962193,-23.473076,6.4242067,463
116000002,116000092,116000001,116000002,61000000000594,61000000000594,116000000,116000003,-1,0,61,0.041403063,51.725468,2944,17.08394,24.521658,23.898476,31747,1,2,2,104.19419,-27.977825,-135.31686,806,51.725468,0.12916301,131.23604,143.22089,1.224434,1.7488761,0.07795588,1.0950705,2.9659624,3.9346397E-4,0.024305329,0.022125596,4.1998076E-4,0.03042265,0.040746927,1.7775304,0.0,43.15154,0.018142518,0.08180436,-20.679379,-21.151487,-21.664679,-22.146057,-23.546007,-15.897115,-16.68376,-17.354677,-17.901371,-19.241354,-20.425354,-20.958157,-21.512096,-22.03472,-23.511232,6.2236533,801
116000003,116000092,116000002,116000003,60000000000582,60000000000582,116000000,116000004,-1,0,60,0.064493395,51.12301,2944,17.059256,24.53151,23.928677,31747,1,2,2,103.19495,-26.42748,-137.56912,801,51.12301,0.12787168,131.12666,149.13966,1.2752459,1.7275856,0.07795588,0.822972,3.0755353,3.9343222E-4,0.022743793,0.02172294,4.1998076E-4,0.03366308,0.03776924,5.9773793,9.4722566E-7,43.164604,0.012391246,0.0867021,-21.321043,-21.619543,-22.069572,-22.526026,-23.898798,-15.924527,-16.709452,-17.378986,-17.924305,-19.262339,-20.907772,-21.284744,-21.799044,-22.326609,-23.836784,6.010705,603
116000004,116000062,116000003,116000004,59000000000695,59000000000695,116000000,116000005,116000063,0,59,0.08928783,52.67219,2944,17.033756,24.535965,23.964489,31747,1,2,2,102.226685,-27.557756,-133.82706,739,52.67219,0.12827945,132.88689,146.38263,1.2444919,1.6325406,0.05735625,2.7144444,2.7100623,2.463063E-4,0.019371526,0.020436779,3.2572003E-4,0.024185888,0.024385842,3.190199,0.0,43.64584,0.011869659,0.08500592,-20.784235,-21.207268,-21.701899,-22.171364,-23.549065,-15.583585,-16.367527,-17.036783,-17.583109,-18.925474,-20.377289,-20.885921,-21.443823,-21.981,-23.489244,5.9389105,793
116000005,116000062,116000004,116000005,58000000000667,58000000000667,116000000,116000006,-1,0,58,0.11588337,51.46727,2944,17.012424,24.540773,23.998823,31747,1,2,2,100.67021,-27.231546,-140.43071,694,51.46727,0.12634906,132.35779,144.55838,1.1801832,1.5913562,0.05735625,2.617867,2.711313,2.462453E-4,0.018621814,0.019795513,3.2572003E-4,0.02336305,0.024426077,4.035227,0.0,43.63813,0.009646563,0.08467676,-20.858438,-21.257784,-21.743797,-22.208162,-23.576748,-15.613467,-16.395346,-17.062943,-17.607681,-18.947824,-20.2394,-20.769705,-21.34711,-21.908796,-23.473452,5.7783914,532
116000006,116000062,116000005,116000006,57000000000697,57000000000697,116000000,116000007,-1,0,57,0.14438343,51.209076,2944,16.987944,24.553333,24.042553,31747,1,2,2,101.8107,-23.164194,-134.70963,710,51.209076,0.12510839,132.6784,148.11377,1.1823188,1.5375274,0.05735625,2.7249756,2.6159163,2.4618144E-4,0.018576236,0.018955644,3.2572003E-4,0.022058405,0.023775255,2.88728,0.0,43.65826,0.011949176,0.08341288,-20.70747,-21.146748,-21.65167,-22.126726,-23.511063,-15.645544,-16.425123,-17.090908,-17.634008,-18.972168,-20.334402,-20.850243,-21.411747,-21.948555,-23.4541,5.654485,490
116000007,116000062,116000006,116000007,56000000000682,56000000000682,116000000,116000008,-1,0,56,0.17489761,49.143497,2944,16.960102,24.552683,24.085005,31747,1,2,2,101.987236,-20.722414,-137.51596,688,49.143497,0.122297555,131.46014,149.29985,1.0856692,1.4978535,0.05735625,2.4850652,2.6454315,2.4611657E-4,0.017943235,0.018321257,3.2572003E-4,0.020654906,0.024347767,3.8322206,0.0,43.62107,0.009217947,0.08231471,-20.80691,-21.215513,-21.708323,-22.176905,-23.550024,-15.68053,-16.457373,-17.121141,-17.662489,-18.998367,-20.174374,-20.710934,-21.28765,-21.84825,-23.41931,5.469745,540
116000008,116000062,116000007,116000008,55000000000697,55000000000697,116000000,116000009,-1,0,55,0.20754863,48.196777,2944,16.934818,24.564789,24.13219,31747,1,2,2,100.651886,-20.132387,-137.40286,642,48.196777,0.12031285,131.25716,148.72318,1.0921308,1.4437724,0.05735625,2.464258,2.5570984,2.4605243E-4,0.018561983,0.017423691,3.2572003E-4,0.01828165,0.024139926,3.733133,0.0,43.605785,0.009643602,0.07947161,-20.75715,-21.173018,-21.670954,-22.143013,-23.52021,-15.717257,-16.491064,-17.152575,-17.691992,-19.024872,-20.202366,-20.72086,-21.29987,-21.864819,-23.430168,5.3291116,587
116000009,116000062,116000008,116000009,54000000000653,54000000000653,116000000,116000010,-1,0,54,0.24246909,42.688572,2944,16.902441,24.582874,24.178442,31747,1,2,2,108.30705,-21.596659,-145.03166,620,42.688572,0.1142983,126.737724,144.22018,1.1791936,1.3898255,0.05735625,1.5883851,2.4688854,2.45998E-4,0.019904308,0.016506776,3.2572003E-4,0.01525809,0.023880906,3.8297708,0.0,43.38671,0.0103924945,0.07513768,-20.727665,-21.142103,-21.63892,-22.110323,-23.485907,-15.75596,-16.526386,-17.185442,-17.722746,-19.052786,-20.213587,-20.723118,-21.295694,-21.853695,-23.403511,5.1818266,159
