galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
106000916,106000957,-1,106000605,63000000001347,63000000001347,106000000,106000917,-1,0,63,0.0,8.864764,3127,11.465446,30.919535,22.823841,26559,1,3,2,-200.6805,-126.661354,-323.25604,120,8.864764,0.07251071,72.510765,86.20999,0.024189038,0.25000408,0.068708666,2.4393965E-4,0.82479507,0.0,6.004641E-4,0.002055465,5.142821E-4,2.296515E-6,0.0063054673,0.57884926,0.0,0.0,0.0010490872,0.07251071,-18.874504,-19.373676,-19.888542,-20.339386,-21.646526,-17.073576,-17.715528,-18.288424,-18.76308,-20.090826,-17.661697,-18.326925,-18.967224,-19.576063,-21.350113,4.680177,54
106000917,106000957,106000916,106000606,62000000001401,62000000001401,106000000,106000918,-1,0,62,0.019932542,8.778699,3127,11.508069,30.94863,22.89044,26559,1,3,2,-192.69804,-125.40763,-332.8016,116,8.778699,0.071911596,72.45787,90.734215,0.069494545,0.24365911,0.032796465,0.0,0.7765941,0.0,0.0011950766,0.0019276828,2.284988E-4,0.0,0.0055069774,0.39128873,0.0,0.0,0.0025731013,0.071911596,-18.922794,-19.430876,-19.950352,-20.402533,-21.734533,-16.306479,-16.955788,-17.533371,-18.011438,-19.3563,-18.261845,-18.894638,-19.512598,-20.075869,-21.632553,4.534246,203
106000918,106000957,106000917,106000607,61000000001413,61000000001413,106000000,106000919,-1,0,61,0.041403063,8.778699,3127,11.5505495,30.979664,22.96598,26559,1,3,2,-181.0019,-122.56828,-342.90848,116,8.778699,0.071512185,72.659935,94.75239,0.048473414,0.23916775,0.032796465,0.050230954,0.75225693,0.0,0.001057084,0.0018564418,2.284988E-4,3.8994045E-4,0.005089872,0.07630601,0.0,41.594723,0.0028306902,0.068900645,-18.907389,-19.476063,-20.009165,-20.462236,-21.786331,-16.5938,-17.20642,-17.76125,-18.225115,-19.555958,-18.430792,-19.078703,-19.682386,-20.219067,-21.711798,4.3408904,889
106000919,106000957,106000918,106000608,60000000001431,60000000001431,106000000,106000920,-1,0,60,0.064493395,8.520501,3127,11.587678,31.004137,23.047613,26559,1,3,2,-168.7091,-119.305115,-352.82764,114,8.520501,0.070370495,72.16178,92.49795,0.050551113,0.23825377,0.032796465,0.0021056307,0.7999626,0.0,0.0011201244,0.0018361441,2.284988E-4,1.6937867E-5,0.00537201,0.16440076,0.0,39.54126,0.0027113026,0.014364246,-19.163721,-19.634518,-20.10112,-20.50935,-21.743574,-16.821875,-17.340149,-17.82869,-18.245428,-19.475529,-18.551552,-19.121777,-19.676357,-20.189745,-21.64245,4.06912,332
106000920,106000957,106000919,106000609,59000000001445,59000000001445,106000000,106000921,-1,0,59,0.08928783,8.520501,3127,11.626069,31.030071,23.139229,26559,1,3,2,-156.25931,-115.28158,-359.67227,113,8.520501,0.06989589,72.40636,86.09533,0.06513318,0.23620623,0.032796465,3.876441E-4,0.80865943,0.0,0.0013224784,0.0017928454,2.284988E-4,3.2724777E-6,0.0052800663,0.2846258,0.0,38.115322,0.0029112506,0.0047974717,-19.532328,-19.893108,-20.294245,-20.670328,-21.855799,-17.17799,-17.58601,-18.009478,-18.39561,-19.582464,-18.93613,-19.39354,-19.880287,-20.358833,-21.75673,3.8036246,306
106000921,106000957,106000920,106000610,58000000001410,58000000001410,106000000,106000922,-1,0,58,0.11588337,8.434436,3127,11.654988,31.062233,23.226376,26559,1,3,2,-138.05714,-108.56311,-375.54224,114,8.434436,0.0691428,72.431,86.63318,0.09136967,0.2325318,0.032796465,0.0,0.7867506,0.0,0.0016286318,0.001723285,2.284988E-4,0.0,0.004855599,4.731263,0.0,0.0,0.0011445278,0.0691428,-20.30151,-20.504925,-20.832256,-21.176176,-22.292463,-17.837978,-18.096354,-18.435913,-18.782227,-19.891237,-18.470455,-18.808346,-19.257284,-19.793896,-21.651098,3.5507333,447
106000922,106000957,106000921,106000611,57000000001388,57000000001388,106000000,106000923,-1,0,57,0.14438343,8.606567,3127,11.682969,31.085918,23.319761,26559,1,3,2,-127.272354,-102.10925,-383.76636,112,8.606567,0.06904212,73.219696,89.82087,0.54202217,0.16941829,0.0,0.0,0.3992035,0.0,0.0027739243,0.0011328901,0.0,8.271806E-25,9.788505E-4,3.5607066,0.0,0.0,0.0036226683,0.06904212,-20.245016,-20.392351,-20.669851,-20.963037,-21.945992,99.0,99.0,99.0,99.0,99.0,-19.747269,-19.980932,-20.334536,-20.714226,-21.867891,4.4750314,81
106000923,106000957,106000922,106000612,56000000001437,56000000001437,106000000,106000924,-1,0,56,0.17489761,8.864764,3127,11.716198,31.109875,23.42817,26559,1,3,2,-118.52953,-91.19118,-399.1288,106,8.864764,0.06910107,74.27816,95.82902,0.14213283,0.120491184,0.0,0.8029578,0.054201905,0.0,0.0012399618,9.748711E-4,0.0,9.112275E-5,4.4457834E-6,0.102564074,0.0,42.799706,0.0053125303,0.060285557,-17.843302,-18.322552,-18.842117,-19.304674,-20.641586,99.0,99.0,99.0,99.0,99.0,-17.687908,-18.204262,-18.74958,-19.237696,-20.621275,5.8982778,13
106000924,106000957,106000923,106000613,55000000000493,55000000000492,106000000,106000925,-1,1,55,0.20754863,96.82388,3139,11.747471,31.134659,23.541897,28370,1,3,2,-113.60948,-68.76376,-412.02325,89,7.6598473,0.065169744,71.09794,88.662964,0.07984225,0.11904377,0.0,0.0,0.0,0.0,0.0012753422,9.5861015E-4,0.0,0.0,0.0,0.06602085,0.0,40.394154,0.00502926,0.022194192,-17.580189,-18.178314,-18.744656,-19.23321,-20.609528,99.0,99.0,99.0,99.0,99.0,-17.355795,-17.999472,-18.599403,-19.12529,-20.57486,5.6297,527
106000925,106000957,106000924,106000614,54000000000454,54000000000453,106000000,106000926,-1,1,54,0.24246909,94.84437,3139,11.796002,31.160337,23.679768,28370,1,3,2,-136.76248,-51.36041,-421.96228,102,8.778702,0.06746512,74.807556,83.718216,0.086654596,0.118089676,0.0,0.0,0.0,0.0,0.0013319382,9.4367674E-4,0.0,0.0,0.0,0.14364263,0.0,40.394154,0.0045879404,0.022194192,-17.873772,-18.38561,-18.908638,-19.373005,-20.719652,99.0,99.0,99.0,99.0,99.0,-17.599392,-18.162659,-18.72732,-19.239079,-20.678242,5.3263874,586
