haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
6000105000000,63000600000409,6000105000136,6000105000000,63,0.0,6000105000001,-1,-1,6000105000000,-1,1062,97.25421,65.75417,83.91403,26975,7.4225783,36.399097,43.262714,199115,0,4,4,34.78608,-98.74188,-125.58624,88.11313,160.18175,0.031780258,-1.0610255,2.654087,16201399,6,409,0.08218189,279
6000105000001,62000600000410,6000105000122,6000105000000,62,0.019932542,6000105000002,6000105000123,6000105000000,6000105000001,6000105000123,1021,97.168144,64.97958,83.56976,26975,7.4174137,36.418606,43.28709,199115,0,4,4,33.561893,-101.99547,-127.0453,91.53489,164.63844,0.05652784,-0.8931904,2.1798894,16201399,6,410,0.074215755,61
6000105000002,61000600000406,6000105000122,6000105000000,61,0.041403063,6000105000003,-1,6000105000001,6000105000002,6000105000124,1016,95.44683,64.89352,81.245995,26975,7.4117174,36.435074,43.31068,199115,0,4,4,31.288496,-102.06137,-128.06699,90.93211,165.74179,0.049673576,-0.7063454,2.1873682,16201279,6,406,0.0719083,352
6000105000003,60000600000346,6000105000122,6000105000000,60,0.064493395,6000105000004,-1,6000105000002,6000105000003,6000105000125,995,94.155846,64.37712,80.64353,26975,7.4035754,36.45477,43.34291,199115,0,4,4,30.713152,-103.934166,-128.22124,88.889786,162.8379,0.17102872,-0.7535378,1.8772163,16201399,6,346,0.072441444,811
6000105000004,59000600000412,6000105000122,6000105000000,59,0.08928783,6000105000005,-1,6000105000003,6000105000004,-1,1006,91.83207,65.15171,80.04108,26975,7.387063,36.47654,43.369186,199115,0,4,4,28.99219,-101.66884,-128.1894,88.06991,157.31035,0.109392926,-0.73279005,2.0075564,16201430,6,412,0.077965595,901
6000105000005,58000600000420,6000105000119,6000105000000,58,0.11588337,6000105000006,6000105000120,6000105000004,6000105000005,6000105000120,953,89.5083,66.27057,78.83615,26975,7.3765883,36.502453,43.405155,199115,0,4,4,29.35583,-103.19069,-125.65703,87.50059,158.77649,0.043820564,-0.81952786,1.875474,16201430,6,420,0.08053913,350
6000105000006,57000600000413,6000105000119,6000105000000,57,0.14438343,6000105000007,-1,6000105000005,6000105000006,6000105000121,962,86.92633,65.23778,78.31976,26975,7.3685126,36.532833,43.439205,199115,0,4,4,28.244276,-105.19306,-126.48573,86.24005,154.67183,0.022995152,-0.81594145,1.8375587,16201430,6,413,0.079792716,571
6000105000007,56000600000425,6000105000101,6000105000000,56,0.17489761,6000105000008,6000105000102,6000105000006,6000105000007,6000105000122,891,84.172226,65.668106,76.68451,26975,7.3535237,36.564716,43.473007,199115,0,4,4,26.164623,-104.04705,-128.1896,88.68345,157.98064,0.37951243,-0.34944394,1.0600855,16201430,6,425,0.0714253,709
6000105000008,55000600000380,6000105000101,6000105000000,55,0.20754863,6000105000009,-1,6000105000007,6000105000008,6000105000130,924,80.7296,64.72138,74.27467,26975,7.3344307,36.590294,43.51563,199115,0,4,4,24.29669,-99.56787,-125.8209,89.10232,155.34486,0.24476583,-0.49011484,1.5227525,16201430,6,380,0.07415987,998
6000105000009,54000600000430,6000105000101,6000105000000,54,0.24246909,6000105000010,-1,6000105000008,6000105000009,-1,884,79.18042,65.15171,74.18861,26975,7.3260136,36.628582,43.55192,199115,0,4,4,22.45727,-100.85703,-126.220375,92.27068,159.2097,0.22331622,-0.1684504,1.2116644,16201430,6,430,0.06882899,302
6000105000010,53000600000388,6000105000069,6000105000000,53,0.2798018,6000105000011,6000105000070,6000105000009,6000105000010,6000105000070,812,76.94271,65.06565,73.24189,26975,7.3339295,36.666725,43.600067,199115,0,4,4,12.29635,-102.862785,-128.13974,94.06812,163.18141,0.45357364,-0.036369253,0.6869369,16093909,6,388,0.058442768,720
6000105000011,52000600000392,6000105000069,6000105000000,52,0.31970343,6000105000012,-1,6000105000010,6000105000011,6000105000071,767,75.651726,64.46319,70.91811,26975,7.338857,36.70773,43.64322,199115,0,4,4,7.8618226,-98.029785,-128.24821,93.991776,160.56288,0.13629168,-0.22494255,1.0155792,16093909,6,392,0.056306187,524
6000105000012,51000600000401,6000105000069,6000105000000,51,0.36234027,6000105000013,-1,6000105000011,6000105000012,6000105000072,766,73.75828,62.741875,69.713196,26975,7.3376203,36.73478,43.691193,199115,0,4,4,9.713577,-94.31247,-124.20577,91.06796,156.75937,0.12195011,-0.21153703,1.1577692,16201268,6,401,0.05826597,788
6000105000013,50000600000385,6000105000069,6000105000000,50,0.40789944,6000105000014,-1,6000105000012,6000105000013,6000105000073,742,72.81156,60.418102,68.76647,26975,7.3292236,36.76226,43.734592,199115,0,4,4,9.654399,-92.42391,-120.94138,88.532455,154.4234,0.16629341,0.059272893,0.8685382,16201358,6,385,0.05782417,581
6000105000014,49000600000395,6000105000069,6000105000000,49,0.45657724,6000105000015,-1,6000105000013,6000105000014,6000105000074,728,70.31565,52.67219,64.46319,26975,7.3342953,36.79054,43.77374,199115,0,4,4,7.1561003,-88.16991,-116.38078,88.199455,159.3743,0.46200618,0.028397627,0.5676971,16093865,6,395,0.058373403,617
6000105000015,48000600000409,6000105000069,6000105000000,48,0.5085914,6000105000016,-1,6000105000014,6000105000015,6000105000075,680,61.62302,52.327927,58.69679,26975,7.337644,36.823227,43.82225,199115,0,4,4,5.1242943,-84.49514,-112.98146,90.23809,160.29808,0.5486456,0.026595611,0.5995931,16093865,6,409,0.050447773,244
6000105000016,47000600000417,6000105000069,6000105000000,47,0.5641766,6000105000017,-1,6000105000015,6000105000016,6000105000076,678,60.6763,50.606613,56.45908,26975,7.3517327,36.858734,43.872204,199115,0,4,4,6.8266163,-85.03938,-112.325134,88.2998,159.6572,0.569845,0.15444714,0.436836,16201249,6,417,0.05304104,874
6000105000017,46000600000440,6000105000069,6000105000000,46,0.6235901,6000105000018,-1,6000105000016,6000105000017,6000105000077,653,57.491867,48.627106,55.340225,26975,7.3631144,36.888588,43.923794,199115,0,4,4,6.404864,-84.00802,-109.68804,89.02137,156.34311,0.71398956,0.19391896,0.5527125,16093865,6,440,0.051940706,767
6000105000018,45000600000448,6000105000069,6000105000000,45,0.6871088,6000105000019,-1,6000105000017,6000105000018,-1,657,56.28695,46.905792,52.93039,26975,7.355745,36.918995,43.977814,199119,0,4,4,2.6114273,-81.59275,-110.77104,88.038376,153.72092,0.60691696,0.014448565,0.4867086,16201432,6,448,0.05244925,41
6000105000019,44000600000457,6000105000069,6000105000000,44,0.75503564,6000105000020,-1,6000105000018,6000105000019,-1,612,55.942688,47.68038,54.909897,26975,7.3462543,36.97166,44.036167,199119,0,4,4,0.3258947,-79.929634,-107.45385,90.558464,154.89613,0.8283912,0.09054806,0.4244951,16201432,6,457,0.049432673,254
6000105000020,43000600000469,6000105000069,6000105000000,43,0.8276991,6000105000021,-1,6000105000019,6000105000020,-1,600,54.909897,48.196777,53.44678,26975,7.352248,37.003056,44.085808,199119,0,4,4,-0.108593985,-77.42848,-104.53202,90.28047,155.30945,0.692014,0.15335369,0.344687,16201432,6,469,0.046892557,518
6000105000021,42000600000451,6000105000069,6000105000000,42,0.9054624,6000105000022,-1,6000105000020,6000105000021,-1,608,54.221375,48.54104,52.93039,26975,7.348456,37.04232,44.14129,199119,0,4,4,0.5495636,-77.61252,-104.95106,90.05078,156.03737,0.80339015,0.23314403,0.39881077,16093843,6,451,0.047132608,73
6000105000022,41000600000410,6000105000069,6000105000000,41,0.98870814,6000105000023,-1,6000105000021,6000105000022,-1,608,53.44678,48.8853,52.93039,26975,7.356253,37.079655,44.1936,199119,0,4,4,-0.2472435,-76.44608,-104.38799,91.823494,156.41345,0.83844566,0.17514278,0.55853945,16201432,6,410,0.050574295,678
6000105000023,40000600000441,6000105000069,6000105000000,40,1.0778745,6000105000024,-1,6000105000022,6000105000023,-1,561,50.95088,48.54104,50.86481,26974,7.331272,37.134262,44.26212,199133,0,4,4,-2.8601687,-80.110054,-101.896194,97.77854,163.50793,0.78065556,0.09783486,0.6563465,16201361,6,441,0.040799122,109
6000105000024,39000600000417,6000105000069,6000105000000,39,1.173417,6000105000025,-1,6000105000023,6000105000024,-1,519,48.45497,46.475464,48.196777,26974,7.3439245,37.15612,44.290054,199133,0,4,4,-2.5583034,-79.95322,-98.03008,112.314964,178.4065,0.6014106,-0.06712969,0.8026438,16201309,6,417,0.030918991,467
6000105000025,38000600000399,6000105000068,6000105000000,38,1.2758462,6000105000026,6000105000069,6000105000024,6000105000025,6000105000069,450,40.53693,39.15988,40.53693,26974,7.296392,37.250713,44.38847,199133,0,4,4,0.48793522,-91.15264,-100.47311,95.55881,141.90723,0.5274701,-0.12998676,0.9693105,16201260,6,399,0.04468165,292
6000105000026,37000600000409,6000105000047,6000105000000,37,1.3857181,6000105000027,6000105000048,6000105000025,6000105000026,6000105000048,313,28.573803,26.85249,28.573803,26974,7.3504543,37.201466,44.367233,199133,0,4,4,-2.6735427,-36.399822,-74.98865,86.56106,138.93687,0.2288642,0.1508724,0.24540697,16201330,6,409,0.03144959,832
