haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
125000000,63000000000597,125000168,125000000,63,0.0,125000001,-1,-1,125000000,-1,1027,96.479614,67.73368,81.93452,3027,21.428787,27.267475,20.16207,30035,2,3,2,100.82881,-105.779686,225.00752,86.212555,157.52652,0.9770551,-0.673851,-0.12281207,1842557,0,597,0.07902824,370
125000001,62000000000596,125000134,125000000,62,0.019932542,125000002,125000135,125000000,125000001,125000135,1019,96.56568,66.442696,80.98779,3027,21.405558,27.290924,20.115242,30035,2,3,2,96.17139,-105.8524,225.171,83.14995,155.50017,0.91215336,-0.59720576,0.14797811,1842557,0,596,0.08346872,0
125000002,61000000000603,125000134,125000000,61,0.041403063,125000003,-1,125000001,125000002,-1,1041,96.479614,66.356636,82.53698,3027,21.38506,27.315544,20.063772,30035,2,3,2,102.549835,-104.36057,230.46584,83.72712,154.90273,1.1347334,-0.5942723,-0.18498439,1835807,0,603,0.08189449,293
125000003,60000000000590,125000134,125000000,60,0.064493395,125000004,-1,125000002,125000003,125000136,1038,96.479614,66.01237,82.62305,3027,21.363789,27.342592,20.016495,30035,2,3,2,99.740425,-105.37177,231.69595,81.78049,150.30214,0.89484644,-0.6083886,0.13130802,1842557,0,590,0.08803898,309
125000004,59000000000612,125000134,125000000,59,0.08928783,125000005,-1,125000003,125000004,125000137,1030,96.65175,66.1845,82.96731,3020,21.338339,27.367638,19.962048,30145,2,3,2,100.56427,-104.39054,235.96625,82.85115,151.20807,0.79935163,-0.60001117,0.28461128,1842557,0,612,0.086629935,188
125000005,58000000000581,125000132,125000000,58,0.11588337,125000006,125000133,125000004,125000005,125000138,1013,97.25421,64.97958,84.172226,3020,21.30921,27.391285,19.905275,30145,2,3,2,102.10715,-104.25979,237.29485,84.88512,153.57109,0.8811549,-0.6453824,-0.057260267,1842557,0,581,0.08403473,819
125000006,57000000000606,125000132,125000000,57,0.14438343,125000007,-1,125000005,125000006,125000139,1003,97.34027,66.01237,85.377144,3020,21.283365,27.423185,19.843496,30145,2,3,2,105.0722,-101.72255,242.53336,87.39464,154.90024,0.79455125,-0.56266224,-0.511303,1413131,0,606,0.08060274,237
125000007,56000000000580,125000132,125000000,56,0.17489761,125000008,-1,125000006,125000007,125000140,1035,97.25421,69.11073,87.528786,3020,21.25734,27.446854,19.770504,30145,2,3,2,107.742836,-97.7,245.13812,87.76365,155.67763,1.0441957,-0.3974605,-0.016026543,1413131,0,580,0.085939616,388
125000008,55000000000578,125000132,125000000,55,0.20754863,125000009,-1,125000007,125000008,125000141,1010,97.25421,69.454994,89.16403,3020,21.224699,27.485065,19.698149,30145,2,3,2,110.18,-94.117165,248.12947,90.58082,156.63034,1.2245632,-0.19136578,0.02150138,1410438,0,578,0.079655066,969
125000009,54000000000530,125000130,125000000,54,0.24246909,125000010,125000131,125000008,125000009,125000142,997,96.30749,70.143524,88.217316,3020,21.191132,27.532097,19.61302,30145,2,3,2,111.39161,-92.7804,252.81453,91.48136,158.51337,1.2327267,-0.3324558,-0.43311462,1413131,0,530,0.076565444,403
125000010,53000000000558,125000130,125000000,53,0.2798018,125000011,-1,125000009,125000010,125000143,976,95.87716,72.63943,87.78699,3059,21.15587,27.569008,19.52,29925,2,3,2,114.432236,-86.150826,256.9432,91.9009,157.54259,0.902672,-0.16858423,-0.42822075,1413131,0,558,0.07521291,575
125000011,52000000000549,125000130,125000000,52,0.31970343,125000012,-1,125000010,125000011,125000144,994,94.67224,74.36074,89.16403,3059,21.117634,27.603603,19.42415,29925,2,3,2,115.5636,-79.163185,255.20413,92.917046,154.0318,1.088555,-0.21452427,-0.5936896,1410423,0,549,0.082310416,329
125000012,51000000000511,125000130,125000000,51,0.36234027,125000013,-1,125000011,125000012,125000181,974,93.55338,74.44681,88.303375,3059,21.070604,27.62713,19.326786,29925,2,3,2,115.61685,-73.230484,254.19806,92.098724,152.24005,1.2846932,-0.059436053,-0.3878446,1410420,0,511,0.080295816,957
125000013,50000000000587,125000130,125000000,50,0.40789944,125000014,-1,125000012,125000013,125000146,917,90.62715,74.36074,85.11895,3059,21.02353,27.64988,19.229565,29925,2,3,2,119.18003,-66.477715,253.12108,93.41615,154.52592,1.3567802,0.02363419,-0.24510059,1410420,0,587,0.07254643,161
