haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
6000050000000,63000600000264,6000050000307,6000050000000,63,0.0,6000050000001,-1,-1,6000050000000,-1,5016,490.91858,380.066,439.7095,26769,10.32468,31.773445,39.864895,199176,1,3,4,-28.092468,8.867176,-109.796776,158.43228,288.30124,-1.2633504,1.2787334,-0.75411296,17830936,6,264,0.11452338,209
6000050000001,62000600000267,6000050000307,6000050000000,62,0.019932542,6000050000002,-1,6000050000000,6000050000001,-1,5039,489.97186,378.0865,437.21362,26769,10.327975,31.76917,39.886265,199176,1,3,4,-29.632984,8.773743,-110.345276,157.92883,287.03458,-1.1567994,1.4464116,-0.7781395,17830936,6,267,0.11691585,942
6000050000002,61000600000261,6000050000307,6000050000000,61,0.041403063,6000050000003,-1,6000050000001,6000050000002,-1,5118,491.1768,375.8488,436.7833,26769,10.328064,31.764717,39.908573,199176,1,3,4,-30.30488,7.9821897,-112.41901,157.85414,289.33865,-1.5926431,1.5960898,-0.76451695,16081968,6,261,0.1177083,874
6000050000003,60000600000193,6000050000307,6000050000000,60,0.064493395,6000050000004,-1,6000050000002,6000050000003,-1,5088,489.97186,374.5578,437.4718,26769,10.33071,31.760677,39.93123,199176,1,3,4,-30.62266,8.655307,-112.71513,160.41801,292.65994,-1.5294813,1.4703234,-0.84113497,16081968,6,193,0.11483227,393
6000050000004,59000600000257,6000050000307,6000050000000,59,0.08928783,6000050000005,-1,6000050000003,6000050000004,-1,5024,486.7014,375.0742,438.41852,26769,10.339582,31.760202,39.957344,199176,1,3,4,-31.165768,9.243485,-110.79316,163.73463,294.1661,-1.1989877,1.7341197,-0.7955694,17831003,6,257,0.11373744,942
6000050000005,58000600000256,6000050000257,6000050000000,58,0.11588337,6000050000006,6000050000258,6000050000004,6000050000005,6000050000258,5056,485.23825,376.107,441.7751,26769,10.34884,31.753986,39.984077,199176,1,3,4,-32.568394,8.668024,-114.54402,160.30383,288.91168,-1.3114514,1.5245812,-0.7925801,17830510,6,256,0.118939936,733
6000050000006,57000600000273,6000050000257,6000050000000,57,0.14438343,6000050000007,-1,6000050000005,6000050000006,6000050000259,4954,482.22595,382.90616,444.0128,26769,10.363904,31.751486,40.017117,199176,1,3,4,-32.83604,7.825717,-114.7017,162.66292,285.6323,-1.2479638,1.7283713,-0.89086956,17831003,6,273,0.11546109,613
6000050000007,56000600000277,6000050000257,6000050000000,56,0.17489761,6000050000008,-1,6000050000006,6000050000007,6000050000260,4943,478.8694,381.01273,444.70132,26769,10.378,31.756174,40.05122,199180,1,3,4,-32.396393,9.168293,-114.46002,165.85374,290.32684,-1.2499814,1.7112132,-0.90392053,16081968,6,277,0.11281919,19
6000050000008,55000600000230,6000050000257,6000050000000,55,0.20754863,6000050000009,-1,6000050000007,6000050000008,6000050000261,5011,479.04153,382.99225,445.2177,26769,10.386318,31.762476,40.090637,199180,1,3,4,-29.27834,9.149223,-112.170334,168.80087,292.45407,-1.296259,1.8240125,-1.0208327,16097833,6,230,0.112786055,49
6000050000009,54000600000261,6000050000257,6000050000000,54,0.24246909,6000050000010,-1,6000050000008,6000050000009,6000050000262,5009,481.3653,382.73404,446.42264,26769,10.375755,31.755472,40.120358,199180,1,3,4,-32.83577,9.015755,-114.31791,167.68541,289.42496,-0.9906139,1.755446,-0.7109213,17831011,6,261,0.11234042,865
