galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
3000099000000,3000099000169,-1,3000099000046,63000300000831,63000300000831,3000099000000,3000099000001,-1,0,63,0.0,300.79953,19035,35.198795,5.019802,62.405426,182758,3,0,6,205.14705,136.82877,80.577225,4433,300.79953,0.23474994,234.7501,237.41856,4.3702307,6.591069,0.24757755,32.391014,0.35443786,0.0019893763,0.076550156,0.10584048,0.0014329824,0.35682124,0.007125273,12.287425,0.0,44.545795,0.020985633,0.08841826,-22.202494,-22.617376,-23.109055,-23.583006,-24.988123,-17.020676,-17.83337,-18.520805,-19.084389,-20.45849,-21.519861,-22.063484,-22.660511,-23.252445,-24.88772,6.695674,581
3000099000001,3000099000169,3000099000000,3000099000047,62000300000826,62000300000826,3000099000000,3000099000002,-1,0,62,0.019932542,273.86096,19012,35.15243,4.984237,62.385536,182703,3,0,6,206.50932,138.54863,82.15917,4341,273.86096,0.22637698,228.09665,237.37355,4.6202474,6.4563823,0.24757755,27.591278,0.39114887,0.0019848542,0.077699386,0.10352989,0.0014329824,0.3486481,0.007863275,11.967957,0.0,44.544018,0.021962734,0.09465892,-22.197443,-22.61288,-23.104149,-23.577795,-24.982367,-17.044668,-17.856026,-18.54244,-19.105005,-20.47753,-21.518387,-22.065536,-22.661875,-23.251776,-24.882633,6.569147,256
3000099000002,3000099000169,3000099000001,3000099000048,61000300000857,61000300000857,3000099000000,3000099000003,-1,0,61,0.041403063,277.21753,19012,35.10496,4.9559107,62.36382,182703,3,0,6,204.67921,136.0592,84.67939,4240,277.21753,0.22603562,229.66344,238.84865,4.6970143,6.3190103,0.24757755,28.567822,0.4340196,0.0019803315,0.07556167,0.101278625,0.0014329824,0.340029,0.008725104,12.517124,0.0,44.552372,0.019563068,0.092125304,-22.25404,-22.651411,-23.13394,-23.60214,-24.99827,-17.070242,-17.880037,-18.565264,-19.126638,-20.497343,-21.59732,-22.102886,-22.683508,-23.267786,-24.896282,6.4330893,604
3000099000003,3000099000169,3000099000002,3000099000049,60000300000841,60000300000841,3000099000000,3000099000004,-1,0,60,0.064493395,285.5659,19012,35.04898,4.9093256,62.348465,182703,3,0,6,203.58661,137.56116,83.32728,4140,285.5659,0.22688425,232.65959,242.70445,3.7336252,6.1690865,0.24757755,33.131325,0.48422003,0.0019700855,0.06234727,0.0988616,0.0014329824,0.3447995,0.009734285,13.551743,0.0,44.62287,0.016427588,0.0902294,-22.248728,-22.641645,-23.121994,-23.590315,-24.986036,-17.097406,-17.905397,-18.589243,-19.149252,-20.518,-21.24975,-21.833872,-22.460129,-23.090702,-24.818148,6.29824,107
3000099000004,3000099000169,3000099000003,3000099000050,59000300000851,59000300000851,3000099000000,3000099000005,-1,0,59,0.08928783,290.21344,19012,34.99511,4.85202,62.32788,182701,3,0,6,204.06236,143.14417,82.29772,3865,290.21344,0.22657003,234.7078,237.9358,3.8571239,6.000305,0.24757755,32.056477,0.54316694,0.001964328,0.062093932,0.09610768,0.0014329824,0.33325896,0.010919296,15.35674,0.0,44.58636,0.013943063,0.08629295,-22.324034,-22.68702,-23.155222,-23.617266,-25.00059,-17.126318,-17.932253,-18.61454,-19.1731,-20.54,-21.12088,-21.699932,-22.33299,-22.982653,-24.765514,6.1718597,516
3000099000005,3000099000169,3000099000004,3000099000051,58000300000827,58000300000827,3000099000000,3000099000006,-1,0,58,0.11588337,290.21344,19012,34.94987,4.8267803,62.296364,182701,3,0,6,201.98363,144.62106,76.65397,3842,290.21344,0.22488862,235.58356,246.08002,3.0933807,5.802056,0.24757755,35.42419,0.6126069,0.0019521611,0.05333988,0.092880905,0.0014329824,0.3318666,0.012315246,16.812366,0.0,44.649685,0.012130192,0.08605815,-22.257917,-22.62631,-23.102678,-23.573597,-24.970634,-17.157103,-17.96073,-18.641272,-19.198267,-20.563393,-21.00125,-21.57637,-22.226044,-22.903465,-24.748665,6.0674305,691
3000099000006,3000099000169,3000099000005,3000099000052,57000300000792,57000300000792,3000099000000,3000099000007,-1,0,57,0.14438343,282.89786,19012,34.906467,4.807705,62.274536,182701,3,0,6,200.3652,139.24034,76.90508,3643,282.89786,0.22116378,234.54587,244.79956,3.587627,5.5777845,0.24757755,31.20046,0.6946798,0.0019458724,0.05767329,0.08915183,0.0014329824,0.31675282,0.013965161,14.89407,0.0,44.59142,0.013262991,0.08449737,-22.166338,-22.543133,-23.031761,-23.511486,-24.916113,-17.189793,-17.990856,-18.669464,-19.22476,-20.587988,-21.104069,-21.6562,-22.295052,-22.953474,-24.736366,5.9841638,172
3000099000007,3000099000169,3000099000006,3000099000053,56000300000820,56000300000820,3000099000000,3000099000008,-1,0,56,0.17489761,270.5044,19012,34.854546,4.772637,62.25213,182701,3,0,6,202.93135,142.11237,71.674446,3471,270.5044,0.21593374,232.11162,249.63824,2.9097779,5.3731275,0.24757755,29.889446,0.7920136,0.0019340237,0.04870369,0.08584177,0.0014329824,0.3147296,0.015921861,8.479777,0.0,44.625374,0.016718103,0.08688759,-21.81671,-22.283583,-22.818367,-23.327917,-24.77845,-17.224426,-18.02265,-18.699108,-19.25257,-20.613665,-21.042198,-21.662634,-22.306564,-22.938276,-24.642984,5.875867,307
3000099000008,3000099000169,3000099000007,3000099000054,55000300000859,55000300000859,3000099000000,3000099000009,-1,0,55,0.20754863,250.62323,19012,34.791386,4.713283,62.230873,182701,3,0,6,200.44925,148.4678,69.23533,3102,250.62323,0.20843938,227.40015,271.02225,2.3273747,5.2534585,0.24757755,30.45785,0.9078677,0.00192721,0.04362033,0.0837886,0.0014329824,0.25522637,0.01825088,10.831704,0.0,44.612442,0.011789987,0.08571692,-21.84011,-22.300129,-22.840162,-23.35473,-24.813217,-17.261646,-18.056757,-18.730911,-19.282429,-20.641483,-20.61405,-21.283106,-21.979355,-22.680775,-24.56055,5.666879,522
3000099000009,3000099000169,3000099000008,3000099000055,54000300000813,54000300000813,3000099000000,3000099000010,-1,0,54,0.24246909,236.33633,19012,34.709232,4.6216583,62.21149,182701,3,0,6,199.89671,150.53072,66.815094,2994,236.33633,0.20219918,224.20512,246.65727,2.282593,5.0969315,0.24757755,26.188978,1.0462844,0.001921259,0.0472613,0.0807287,0.0014329824,0.24134737,0.021033477,5.521481,0.0,44.565468,0.01682862,0.08629848,-21.547546,-22.105679,-22.686863,-23.224634,-24.720411,-17.301762,-18.093561,-18.7653,-19.314787,-20.671867,-20.809553,-21.508081,-22.193424,-22.850218,-24.594658,5.4883156,797
3000099000010,3000099000169,3000099000009,3000099000056,53000400000310,53000400000310,3000099000000,3000099000011,-1,0,53,0.2798018,204.66417,19012,34.632687,4.528513,62.209995,182701,3,0,6,211.82928,168.99913,54.31977,2555,204.66417,0.19045785,214.97673,205.28836,1.78548,5.0154696,0.24757755,21.196365,1.2122909,0.0019160958,0.045442082,0.078889586,0.0014329824,0.2337979,0.024370704,5.5391803,0.0,44.512093,0.013378445,0.091498904,-21.56976,-22.129448,-22.706211,-23.245554,-24.751175,-17.345182,-18.13356,-18.802893,-19.35026,-20.705675,-20.529764,-21.2583,-21.979094,-22.690767,-24.569853,5.2201877,152
3000099000011,3000099000169,3000099000010,3000099000057,52000400000319,52000400000319,3000099000000,3000099000012,-1,0,52,0.31970343,127.549324,19012,34.546185,4.438866,62.20304,182701,3,0,6,213.33276,169.42279,45.963757,2327,127.549324,0.16058701,184.82207,202.70901,1.6194326,4.932281,0.24757755,7.857652,1.4121749,0.0019128675,0.04609358,0.07659975,0.0014329824,0.22343658,0.028388977,4.680189,0.0,44.11611,0.015380077,0.104174234,-21.607992,-22.167831,-22.733257,-23.262337,-24.76015,-17.391043,-18.17558,-18.842255,-19.387228,-20.741024,-20.713541,-21.428995,-22.11822,-22.78716,-24.58458,4.9443483,357
3000099000012,3000099000145,3000099000011,3000099000058,51000400000320,51000400000320,3000099000000,3000099000013,3000099000146,0,51,0.36234027,112.91816,19012,34.4695,4.3504076,62.193645,182701,3,0,6,215.383,178.9522,33.97195,1906,112.91816,0.1520266,178.7278,200.33618,1.1521636,4.8394747,0.2261005,8.3854685,1.5188437,0.0017984832,0.03605557,0.07448555,0.0013286147,0.20210631,0.030203283,13.765039,0.0,44.16344,0.0052821226,0.10405941,-21.97348,-22.406868,-22.918303,-23.432417,-24.909464,-17.33129,-18.113712,-18.778727,-19.322615,-20.678484,-19.246628,-19.94831,-20.678959,-21.473461,-23.96922,4.6377296,140
3000099000013,3000099000145,3000099000012,3000099000059,50000400000311,50000400000311,3000099000000,3000099000014,-1,0,50,0.40789944,107.40996,19012,34.38049,4.2738714,62.189304,182701,3,0,6,219.6287,176.7663,32.11663,1719,107.40996,0.1472213,177.13603,201.84694,1.9024273,4.6272087,0.2261005,7.2713284,1.4159818,0.0017965885,0.051600896,0.06831906,0.0013286147,0.18466388,0.026912648,12.433397,0.0,44.09372,0.0085988855,0.100722544,-21.93218,-22.366146,-22.878817,-23.38693,-24.84282,-17.383163,-18.16169,-18.824045,-19.365791,-20.721895,-19.79642,-20.489305,-21.221407,-22.01212,-24.288925,4.4705787,492
3000099000014,3000099000145,3000099000013,3000099000060,49000300000840,49000300000840,3000099000000,3000099000015,-1,0,49,0.45657724,110.25012,19012,34.299007,4.2190127,62.16174,182701,3,0,6,222.52756,175.2668,28.522917,1566,110.25012,0.14603151,180.19229,194.65181,2.5944908,4.433826,0.2261005,7.3616695,1.3094347,0.0017948743,0.058916137,0.063530035,0.0013286147,0.17591155,0.022832224,11.893166,7.450578E-8,44.14385,0.012290817,0.09617672,-21.928522,-22.355928,-22.868628,-23.36579,-24.795254,-17.43657,-18.210474,-18.86941,-19.408152,-20.763056,-20.479872,-21.128674,-21.824554,-22.544168,-24.49854,4.283142,787
3000099000015,3000099000119,3000099000014,3000099000061,48000300000981,48000300000981,3000099000000,3000099000016,3000099000120,0,48,0.5085914,107.84029,19012,34.203037,4.147677,62.141434,182701,3,0,6,224.56697,172.46117,29.803225,1412,107.84029,0.14233607,180.51073,195.24672,2.1705775,4.216416,0.1946825,9.912117,1.2459586,0.0016420565,0.05760747,0.059195273,0.0011313634,0.15775718,0.022598822,8.289208,0.0,44.28724,0.012066006,0.09327813,-21.687754,-22.178713,-22.722376,-23.243809,-24.707798,-17.329277,-18.098282,-18.75302,-19.287415,-20.638775,-20.102884,-20.828615,-21.567274,-22.32667,-24.373875,4.070676,740
3000099000016,3000099000119,3000099000015,3000099000062,47000300000829,47000300000829,3000099000000,3000099000017,-1,0,47,0.5641766,103.27881,19012,34.107044,4.082153,62.1258,182700,3,0,6,224.59146,164.30777,30.142319,1463,103.27881,0.13754995,179.69888,201.93623,2.2669196,4.086495,0.1946825,6.3290014,1.2793803,0.0016402274,0.060247563,0.05571581,0.0011313634,0.1509937,0.02303388,6.2716193,0.0,44.094177,0.015680928,0.089311466,-21.595793,-22.121622,-22.67578,-23.19551,-24.649237,-17.38683,-18.149456,-18.798784,-19.3276,-20.673315,-20.444956,-21.165852,-21.87312,-22.56782,-24.41511,3.8173814,537
