galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
4000039000000,4000039000270,-1,4000039000000,63000400000270,63000400000270,4000039000000,4000039000001,-1,0,63,0.0,378.43076,18321,37.53981,29.460691,42.700806,175356,4,3,4,-42.0645,55.994747,-221.25807,5172,378.43076,0.25342062,253.42078,288.9998,0.10774154,6.9405403,2.9020548,55.309273,0.0,0.014379555,0.0034918385,0.07384813,0.029440885,0.27464703,0.0,0.0,0.0,0.0,0.020737382,0.06774356,-20.447807,-21.331705,-22.05823,-22.677599,-24.205036,-19.461926,-20.336462,-21.059683,-21.672375,-23.178217,-20.43558,-21.321556,-22.049994,-22.67158,-24.20325,10.699702,301
4000039000001,4000039000270,4000039000000,4000039000001,62000400000270,62000400000270,4000039000000,4000039000002,-1,0,62,0.019932542,379.46353,18321,37.55154,29.454205,42.74251,175356,4,3,4,-41.66109,56.62704,-221.89851,5159,379.46353,0.25237456,254.29172,289.5536,0.10774154,6.9405403,2.9020548,55.478863,0.0,0.014369138,0.0034918385,0.07384813,0.029440885,0.27456218,0.0,0.0,0.0,0.0,0.021117367,0.06705959,-20.474796,-21.356228,-22.081047,-22.69866,-24.223806,-19.486343,-20.35928,-21.081326,-21.692745,-23.196634,-20.462984,-21.346426,-22.073097,-22.69285,-24.222084,10.43627,730
4000039000002,4000039000270,4000039000001,4000039000002,61000400000256,61000400000256,4000039000000,4000039000003,-1,0,61,0.041403063,382.21765,18321,37.559376,29.443613,42.78927,175356,4,3,4,-41.1306,56.6631,-221.50046,5095,382.21765,0.25157854,255.6163,288.23068,0.10774154,6.9405403,2.9020548,56.047947,0.0,0.014358027,0.0034918385,0.07384813,0.029440885,0.27379653,0.0,0.0,0.0,0.0,0.020939412,0.06605594,-20.504066,-21.38272,-22.10564,-22.72132,-24.243956,-19.512424,-20.383545,-21.104261,-21.714235,-23.21584,-20.49203,-21.37274,-22.097548,-22.715408,-24.242203,10.160415,810
4000039000003,4000039000270,4000039000002,4000039000003,60000400000264,60000400000264,4000039000000,4000039000004,-1,0,60,0.064493395,380.3242,18321,37.575523,29.429356,42.83927,175356,4,3,4,-40.438366,56.60836,-223.03859,5044,380.3242,0.24962431,255.9785,291.07773,0.10774154,6.9405403,2.9020548,55.728344,0.0,0.01434638,0.0034918385,0.07384813,0.029440885,0.27378365,0.0,0.0,0.0,0.0,0.01879457,0.065678366,-20.535519,-21.410934,-22.13165,-22.74512,-24.264856,-19.540174,-20.409218,-21.128412,-21.73672,-23.235655,-20.520567,-21.398542,-22.121605,-22.737782,-24.26268,9.8725605,46
4000039000004,4000039000270,4000039000003,4000039000004,59000400000280,59000400000280,4000039000000,4000039000005,-1,0,59,0.08928783,381.27094,18321,37.582287,29.418495,42.89833,175356,4,3,4,-39.558605,56.505417,-224.57956,4973,381.27094,0.24814633,257.05905,291.29877,0.10774154,6.9405403,2.9020548,55.87888,0.0,0.014334101,0.0034918385,0.07384813,0.029440885,0.27368712,0.0,0.0,0.0,0.0,0.019723719,0.064840086,-20.56952,-21.441273,-22.159481,-22.770458,-24.286968,-19.569572,-20.436264,-21.153738,-21.760159,-23.256124,-20.555897,-21.42999,-22.150341,-22.763784,-24.28499,9.573246,289
4000039000005,4000039000270,4000039000004,4000039000005,58000400000250,58000400000250,4000039000000,4000039000006,-1,0,58,0.11588337,380.92667,18321,37.587135,29.401579,42.950623,175356,4,3,4,-38.36203,55.97914,-223.07065,4907,380.92667,0.24623065,257.94052,292.5758,0.10774154,6.9405403,2.9020548,55.822006,0.0,0.014321219,0.0034918385,0.07384813,0.029440885,0.27366748,0.0,0.0,0.0,0.0,0.019672615,0.06411339,-20.606953,-21.474379,-22.189692,-22.797905,-24.311419,-19.60071,-20.464718,-21.180237,-21.784594,-23.277456,-20.593204,-21.463009,-22.180483,-22.791185,-24.309425,9.262992,245
4000039000006,4000039000270,4000039000005,4000039000006,57000400000268,57000400000268,4000039000000,4000039000007,-1,0,57,0.14438343,375.8488,18318,37.595406,29.388037,43.007496,175576,4,3,4,-39.55804,56.43743,-223.39528,4835,375.8488,0.24313183,257.84317,295.01736,0.10774154,6.9405403,2.9020548,54.962185,0.0,0.014307852,0.0034918385,0.07384813,0.029440885,0.2736541,0.0,0.0,0.0,0.0,0.019744417,0.0639549,-20.648788,-21.509954,-22.221321,-22.826054,-24.335411,-19.633741,-20.494694,-21.208046,-21.810244,-23.300255,-20.635067,-21.498627,-22.212158,-22.819372,-24.333433,8.942405,487
4000039000007,4000039000270,4000039000006,4000039000007,56000400000265,56000400000265,4000039000000,4000039000008,-1,0,56,0.17489761,371.2873,18318,37.59979,29.369106,43.07706,175576,4,3,4,-41.92986,58.00327,-225.24533,4766,371.2873,0.23997487,257.95392,290.1669,0.10774154,6.9405403,2.9020548,54.19018,0.0,0.0142939845,0.0034918385,0.07384813,0.029440885,0.27363816,0.0,0.0,0.0,0.0,0.016619897,0.06365757,-20.700306,-21.550982,-22.256964,-22.858047,-24.363802,-19.668737,-20.52634,-21.237343,-21.83733,-23.32463,-20.68081,-21.534946,-22.244009,-22.848604,-24.361004,8.612172,215
4000039000008,4000039000270,4000039000007,4000039000008,55000400000272,55000400000272,4000039000000,4000039000009,-1,0,55,0.20754863,366.89795,18318,37.609737,29.349644,43.150192,175576,4,3,4,-44.486897,57.18781,-224.41142,4837,366.89795,0.23667611,258.20544,287.95105,0.10774154,6.9405403,2.9020548,53.578587,0.0,0.014265533,0.0034918385,0.07384813,0.029440885,0.27337265,0.0,0.8694827,3.8190958E-8,0.0,0.017020335,0.063268006,-20.781103,-21.606798,-22.30251,-22.897871,-24.396929,-19.705591,-20.559607,-21.268112,-21.865818,-23.350424,-20.762035,-21.591301,-22.290047,-22.888805,-24.394249,8.273023,889
4000039000009,4000039000225,4000039000008,4000039000009,54000400000267,54000400000267,4000039000000,4000039000010,4000039000226,0,54,0.24246909,362.2504,18318,37.6213,29.329885,43.222713,175576,4,3,4,-41.900703,57.071922,-224.47179,4651,362.2504,0.23313394,258.50662,287.41528,0.17537479,6.303283,2.2773623,52.701813,0.0,0.013658509,0.004894463,0.06679387,0.022748897,0.27067798,0.0,0.4925534,0.0,0.0,0.014097051,0.0626143,-20.794374,-21.574745,-22.261118,-22.856838,-24.360277,-19.470484,-20.321758,-21.028646,-21.62484,-23.107452,-20.756939,-21.544687,-22.236961,-22.839224,-24.355059,7.8925934,613
