haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
609000000,63000000001239,609000083,609000000,63,0.0,609000001,-1,-1,609000000,-1,136,9.725421,5.8524656,7.057385,510,1.0214936,2.6132998,14.343665,2353,0,0,1,-188.37614,-51.411858,83.07791,35.746998,74.38603,-0.028911522,-0.074394435,-0.36517134,289965,0,1239,0.065250635,521
609000001,62000000001242,609000083,609000000,62,0.019932542,609000002,-1,609000000,609000001,-1,137,9.983618,5.8524656,6.971319,510,1.0591362,2.6245065,14.326274,2353,0,0,1,-188.32436,-48.267536,83.96318,37.22873,73.72885,-0.029489063,0.020378813,-0.40054348,289965,0,1242,0.063227676,317
609000002,61000000001302,609000083,609000000,61,0.041403063,609000003,-1,609000001,609000002,-1,130,9.725421,5.680334,7.2295165,510,1.1027044,2.6402295,14.311231,2353,0,0,1,-184.89355,-45.870567,85.0707,38.75229,75.04608,0.11849007,-0.1247198,-0.2412126,289965,0,1302,0.06178964,286
609000003,60000000001274,609000082,609000000,60,0.064493395,609000004,609000083,609000002,609000003,609000083,70,11.963128,6.36886,8.606567,510,1.131824,2.6510844,14.2930155,2353,0,0,1,-175.43022,-43.232834,81.3617,38.859932,72.19439,0.26284567,-0.1869098,-0.14385462,289933,0,1274,0.034449007,18
609000004,59000000001301,609000082,609000000,59,0.08928783,609000005,-1,609000003,609000004,-1,129,12.393456,7.057385,10.327881,510,1.1727984,2.6617026,14.271155,2353,0,0,1,-187.37463,-39.58742,84.35863,43.920727,74.081474,0.21269892,-0.18808365,-0.24315524,289933,0,1301,0.053880196,74
609000005,58000000001282,609000082,609000000,58,0.11588337,609000006,-1,609000004,609000005,-1,130,12.221325,10.500011,11.618866,510,1.2113427,2.669026,14.248291,2353,0,0,1,-185.29651,-36.83613,83.24946,49.617367,77.603645,0.11682431,-0.21430126,-0.254881,289965,0,1282,0.04846068,924
609000006,57000000001333,609000082,609000000,57,0.14438343,609000007,-1,609000005,609000006,-1,128,12.221325,11.360668,11.963128,510,1.2430009,2.6734211,14.215261,2353,0,0,1,-183.62843,-36.725418,81.44899,58.466846,86.17976,0.13811317,-0.11535875,-0.29507276,289965,0,1333,0.033930354,440
609000007,56000000001324,609000082,609000000,56,0.17489761,609000008,-1,609000006,609000007,-1,131,12.13526,11.102471,12.049194,510,1.2814318,2.671694,14.191511,2353,0,0,1,-188.3599,-29.866812,83.5262,64.35884,92.403366,0.12612954,-0.16762744,-0.11306753,289968,0,1324,0.032984037,700
609000008,55000000001313,609000082,609000000,55,0.20754863,609000009,-1,609000007,609000008,-1,130,11.963128,10.500011,11.274603,510,1.3315096,2.668458,14.17138,2353,0,0,1,-187.14009,-26.135452,83.12352,57.656628,84.20287,0.2047047,-0.202976,-0.108622685,289714,0,1313,0.037307326,631
609000009,54000000001288,609000059,609000000,54,0.24246909,609000010,609000060,609000008,609000009,609000060,98,11.5328,8.434436,10.586078,510,1.3918422,2.663369,14.146974,2353,0,0,1,-199.13678,5.6435585,83.97628,39.576817,74.71813,0.20001565,-0.30095342,0.27567133,289933,0,1288,0.041311692,277
